no,institution_name,sector,licence_type_status,office_number,address,website,mas_profile_url,source_list_url,source_page,verification_date,family_office_classification,telemarketing_priority,calling_status,contact_result,follow_up_date,assigned_to,notes
1,$&C XCHANGE CENTRE,Payments,Money-changing Licensee,+65 65144960,304 ORCHARD ROAD 01-51 LUCKY PLAZA 238863,,https://eservices.mas.gov.sg/fid/institution/detail/218382-C-XCHANGE-CENTRE,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
2,100X100 PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 86064018,2B JIAK CHUAN ROAD NA 089260,,https://eservices.mas.gov.sg/fid/institution/detail/437547-100X100-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
3,12 HRS MONEY EXCHANGER,Payments,Money-changing Licensee,65 62586526,238 THOMSON ROAD #01-70A NOVENA SQUARE 307683,,https://eservices.mas.gov.sg/fid/institution/detail/2885-12-HRS-MONEY-EXCHANGER,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
4,1291 ASIA PTE. LTD.,Financial Advisory,Licensed Financial Adviser,+65 60150780,3 CHURCH STREET #27-01 SAMSUNG HUB 049483,http://www.1291group.com,https://eservices.mas.gov.sg/fid/institution/detail/228551-1291-ASIA-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
5,19 EXCHANGE MONEY CHANGER & TRADING,Payments,Money-changing Licensee,65 63363141,200 VICTORIA STREET #01-42A PARCO BUGIS JUNCTION 188021,,https://eservices.mas.gov.sg/fid/institution/detail/2857-19-EXCHANGE-MONEY-CHANGER-TRADING,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
6,1982 VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 92201890,3 SHENTON WAY #12-12 SHENTON HOUSE 068805,,https://eservices.mas.gov.sg/fid/institution/detail/232363-1982-VENTURES-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
7,1X EXCHANGE PTE. LTD.,Capital Markets,Recognised Market Operator,+65 98292062,"140 ROBINSON ROAD, #17-04 TAHIR BUILDING 068907",http://www.1x.exchange,https://eservices.mas.gov.sg/fid/institution/detail/220631-1X-EXCHANGE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
8,22N PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 82282266,175 TELOK AYER STREET #02-01 068623,,https://eservices.mas.gov.sg/fid/institution/detail/435076-22N-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
9,2C2P Pte. Ltd.,Payments,Major Payment Institution,+65 67172333,128 BEACH ROAD GUOCO MIDTOWN OFFICE #21-04 SINGAPORE 189773,http://www.2c2p.com,https://eservices.mas.gov.sg/fid/institution/detail/431405-2C2P-Pte-Ltd,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
10,360 ONE CAPITAL PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 65377487,16 RAFFLES QUAY #35-03 HONG LEONG BUILDING 048581,https://www.iiflamc.com/reach-us/locations?field_country_target_id=23,https://eservices.mas.gov.sg/fid/institution/detail/2032-360-ONE-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
11,360 TREASURY SYSTEMS AG,Capital Markets,Recognised Market Operator,,,http://www.360t.com,https://eservices.mas.gov.sg/fid/institution/detail/238758-360-TREASURY-SYSTEMS-AG,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
12,360T ASIA PACIFIC PTE. LTD,Capital Markets,Recognised Market Operator,+65 62308040,1 GEORGE STREET #20-04A 049145,https://www.360t.com/,https://eservices.mas.gov.sg/fid/institution/detail/427800-360T-ASIA-PACIFIC-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
13,3D INVESTMENT PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68190000,1 TEMASEK AVENUE #20-02A MILLENIA TOWER 039192,,https://eservices.mas.gov.sg/fid/institution/detail/200611-3D-INVESTMENT-PARTNERS-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
14,3R INVESTMENT MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69776933,"6 BATTERY ROAD, LEVEL 7, UNIT 16 049909",,https://eservices.mas.gov.sg/fid/institution/detail/435569-3R-INVESTMENT-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
15,42 WEALTH MANAGEMENT PTE. LTD.,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 69502730,CO. 99 DUXTON ROAD #02-00 089543,https://www.42wealthmanagement.com/,https://eservices.mas.gov.sg/fid/institution/detail/414096-42-WEALTH-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
16,4D VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 67339196,"THE WORK PROJECT, 168 ROBINSON ROAD, #20-01 CAPITAL TOWER 068912",,https://eservices.mas.gov.sg/fid/institution/detail/241158-4D-VENTURES-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
17,500 STARTUPS MANAGEMENT COMPANY SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68014590,328 NORTH BRIDGE ROAD #02-24A RAFFLES HOTEL ARCADE 188719,,https://eservices.mas.gov.sg/fid/institution/detail/201038-500-STARTUPS-MANAGEMENT-COMPANY-SINGAPORE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
18,8 CAPITAL ASSET MANAGEMENT PTE LTD,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 97986461,26 ANN SIANG ROAD 069706,,https://eservices.mas.gov.sg/fid/institution/detail/241157-8-CAPITAL-ASSET-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
19,8F ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64859818,160 ROBINSON ROAD #24-03 SBF CENTER 068914,http://www.8f-am.com,https://eservices.mas.gov.sg/fid/institution/detail/200985-8F-ASSET-MANAGEMENT-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
20,8H CAPITAL PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 92998899,111 SOMERSET ROAD #07-07 111 SOMERSET 238164,,https://eservices.mas.gov.sg/fid/institution/detail/238761-8H-CAPITAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
21,8HEXA FINANCIAL PTE. LTD.,Payments,Standard Payment Institution,,8 TEMASEK BOULEVARD #29-01 SUNTEC TOWER THREE 038988,http://www.8hexa.com,https://eservices.mas.gov.sg/fid/institution/detail/218381-8HEXA-FINANCIAL-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
22,8VANTEDGE PTE LTD,Capital Markets; Financial Advisory,Capital Markets Services Licensee; Exempt Financial Adviser,+65 88012569,137 AMOY STREET #03-04A FAR EAST SQUARE 049965,,https://eservices.mas.gov.sg/fid/institution/detail/231387-8VANTEDGE-PTE-LTD,https://eservices.mas.gov.sg/fid/institution?page=1&count=100,1,2026-07-11,,,Not Called,,,,
