licence_record_no,institution_no,institution_name,sector,licence_type_status,office_number,address,website,mas_profile_url,source_page,verification_date
1,1,$&C XCHANGE CENTRE,Payments,Money-changing Licensee,+65 65144960,304 ORCHARD ROAD 01-51 LUCKY PLAZA 238863,,https://eservices.mas.gov.sg/fid/institution/detail/218382-C-XCHANGE-CENTRE,1,2026-07-11
2,2,100X100 PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 86064018,2B JIAK CHUAN ROAD NA 089260,,https://eservices.mas.gov.sg/fid/institution/detail/437547-100X100-PTE-LTD,1,2026-07-11
3,3,12 HRS MONEY EXCHANGER,Payments,Money-changing Licensee,65 62586526,238 THOMSON ROAD #01-70A NOVENA SQUARE 307683,,https://eservices.mas.gov.sg/fid/institution/detail/2885-12-HRS-MONEY-EXCHANGER,1,2026-07-11
4,4,1291 ASIA PTE. LTD.,Financial Advisory,Licensed Financial Adviser,+65 60150780,3 CHURCH STREET #27-01 SAMSUNG HUB 049483,http://www.1291group.com,https://eservices.mas.gov.sg/fid/institution/detail/228551-1291-ASIA-PTE-LTD,1,2026-07-11
5,5,19 EXCHANGE MONEY CHANGER & TRADING,Payments,Money-changing Licensee,65 63363141,200 VICTORIA STREET #01-42A PARCO BUGIS JUNCTION 188021,,https://eservices.mas.gov.sg/fid/institution/detail/2857-19-EXCHANGE-MONEY-CHANGER-TRADING,1,2026-07-11
6,6,1982 VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 92201890,3 SHENTON WAY #12-12 SHENTON HOUSE 068805,,https://eservices.mas.gov.sg/fid/institution/detail/232363-1982-VENTURES-PTE-LTD,1,2026-07-11
7,7,1X EXCHANGE PTE. LTD.,Capital Markets,Recognised Market Operator,+65 98292062,"140 ROBINSON ROAD, #17-04 TAHIR BUILDING 068907",http://www.1x.exchange,https://eservices.mas.gov.sg/fid/institution/detail/220631-1X-EXCHANGE-PTE-LTD,1,2026-07-11
8,8,22N PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 82282266,175 TELOK AYER STREET #02-01 068623,,https://eservices.mas.gov.sg/fid/institution/detail/435076-22N-PTE-LTD,1,2026-07-11
9,9,2C2P Pte. Ltd.,Payments,Major Payment Institution,+65 67172333,128 BEACH ROAD GUOCO MIDTOWN OFFICE #21-04 SINGAPORE 189773,http://www.2c2p.com,https://eservices.mas.gov.sg/fid/institution/detail/431405-2C2P-Pte-Ltd,1,2026-07-11
10,10,360 ONE CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 65377487,16 RAFFLES QUAY #35-03 HONG LEONG BUILDING 048581,https://www.iiflamc.com/reach-us/locations?field_country_target_id=23,https://eservices.mas.gov.sg/fid/institution/detail/2032-360-ONE-CAPITAL-PTE-LTD,1,2026-07-11
11,10,360 ONE CAPITAL PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 65377487,16 RAFFLES QUAY #35-03 HONG LEONG BUILDING 048581,https://www.iiflamc.com/reach-us/locations?field_country_target_id=23,https://eservices.mas.gov.sg/fid/institution/detail/2032-360-ONE-CAPITAL-PTE-LTD,1,2026-07-11
12,11,360 TREASURY SYSTEMS AG,Capital Markets,Recognised Market Operator,+49 699002890,"GRUNEBURGWEG 16-18, WESTEND CARREE, D-60322, FRANKFURT AM MAIN, GERMANY 0",http://www.360t.com,https://eservices.mas.gov.sg/fid/institution/detail/238758-360-TREASURY-SYSTEMS-AG,1,2026-07-11
13,12,360T ASIA PACIFIC PTE. LTD,Capital Markets,Recognised Market Operator,+65 62308040,1 GEORGE STREET #20-04A 049145,https://www.360t.com/,https://eservices.mas.gov.sg/fid/institution/detail/427800-360T-ASIA-PACIFIC-PTE-LTD,1,2026-07-11
14,13,3D INVESTMENT PARTNERS PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68190000,1 TEMASEK AVENUE #20-02A MILLENIA TOWER 039192,,https://eservices.mas.gov.sg/fid/institution/detail/200611-3D-INVESTMENT-PARTNERS-PTE-LTD,1,2026-07-11
15,14,3R INVESTMENT MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69776933,"6 BATTERY ROAD, LEVEL 7, UNIT 16 049909",,https://eservices.mas.gov.sg/fid/institution/detail/435569-3R-INVESTMENT-MANAGEMENT-PTE-LTD,1,2026-07-11
16,15,42 WEALTH MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 69502730,CO. 99 DUXTON ROAD #02-00 089543,https://www.42wealthmanagement.com/,https://eservices.mas.gov.sg/fid/institution/detail/414096-42-WEALTH-MANAGEMENT-PTE-LTD,1,2026-07-11
17,15,42 WEALTH MANAGEMENT PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 69502730,CO. 99 DUXTON ROAD #02-00 089543,https://www.42wealthmanagement.com/,https://eservices.mas.gov.sg/fid/institution/detail/414096-42-WEALTH-MANAGEMENT-PTE-LTD,1,2026-07-11
18,16,4D VENTURES PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 67339196,"THE WORK PROJECT, 168 ROBINSON ROAD, #20-01 CAPITAL TOWER 068912",,https://eservices.mas.gov.sg/fid/institution/detail/241158-4D-VENTURES-PTE-LTD,1,2026-07-11
19,17,500 STARTUPS MANAGEMENT COMPANY SINGAPORE PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68014590,328 NORTH BRIDGE ROAD #02-24A RAFFLES HOTEL ARCADE 188719,,https://eservices.mas.gov.sg/fid/institution/detail/201038-500-STARTUPS-MANAGEMENT-COMPANY-SINGAPORE-PTE-LTD,1,2026-07-11
20,18,8 CAPITAL ASSET MANAGEMENT PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 97986461,26 ANN SIANG ROAD 069706,,https://eservices.mas.gov.sg/fid/institution/detail/241157-8-CAPITAL-ASSET-MANAGEMENT-PTE-LTD,1,2026-07-11
21,18,8 CAPITAL ASSET MANAGEMENT PTE LTD,Financial Advisory,Exempt Financial Adviser,+65 97986461,26 ANN SIANG ROAD 069706,,https://eservices.mas.gov.sg/fid/institution/detail/241157-8-CAPITAL-ASSET-MANAGEMENT-PTE-LTD,1,2026-07-11
22,19,8F ASSET MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 64859818,160 ROBINSON ROAD #24-03 SBF CENTER 068914,http://www.8f-am.com,https://eservices.mas.gov.sg/fid/institution/detail/200985-8F-ASSET-MANAGEMENT-PTE-LTD,1,2026-07-11
23,20,8H CAPITAL PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 92998899,111 SOMERSET ROAD #07-07 111 SOMERSET 238164,,https://eservices.mas.gov.sg/fid/institution/detail/238761-8H-CAPITAL-PTE-LTD,1,2026-07-11
24,21,8HEXA FINANCIAL PTE. LTD.,Payments,Standard Payment Institution,,8 TEMASEK BOULEVARD #29-01 SUNTEC TOWER THREE 038988,http://www.8hexa.com,https://eservices.mas.gov.sg/fid/institution/detail/218381-8HEXA-FINANCIAL-PTE-LTD,1,2026-07-11
25,22,8VANTEDGE PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 88012569,137 AMOY STREET #03-04A FAR EAST SQUARE 049965,,https://eservices.mas.gov.sg/fid/institution/detail/231387-8VANTEDGE-PTE-LTD,1,2026-07-11
26,22,8VANTEDGE PTE LTD,Financial Advisory,Exempt Financial Adviser,+65 88012569,137 AMOY STREET #03-04A FAR EAST SQUARE 049965,,https://eservices.mas.gov.sg/fid/institution/detail/231387-8VANTEDGE-PTE-LTD,1,2026-07-11
27,23,A MONEYLINK EXCHANGE,Payments,Money-changing Licensee,65 62652137,3 COLEMAN STREET #01-26 PENINSULA SHOPPING COMPLEX 179804,,https://eservices.mas.gov.sg/fid/institution/detail/2892-A-MONEYLINK-EXCHANGE,1,2026-07-11
28,24,A WALIMOHAMED BROS,Payments,Money-changing Licensee,65 97506445,70 JELLICOE ROAD #01-05 V HOTEL LAVENDER 208767,,https://eservices.mas.gov.sg/fid/institution/detail/89-A-WALIMOHAMED-BROS,1,2026-07-11
29,25,A-EXPRESS REMIT PTE. LTD.,Payments,Major Payment Institution,65 62359849,304 ORCHARD ROAD #02-28 LUCKY PLAZA 238863,,https://eservices.mas.gov.sg/fid/institution/detail/1528-A-EXPRESS-REMIT-PTE-LTD,1,2026-07-11
30,26,A. MENARINI RE-INSURANCE PTE. LTD.,Insurance,Captive Insurer (General),+65 6922 8500,"8, MARINA VIEW #09-05 ASIA SQUARE TOWER 1 018960",https://www.menariniapac.com/en/insurance.html,https://eservices.mas.gov.sg/fid/institution/detail/254569-A-MENARINI-RE-INSURANCE-PTE-LTD,27,2026-07-11
31,27,A.M. BEST ASIA-PACIFIC (SINGAPORE) PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 63035000,8 CROSS STREET #21-03 MANULIFE TOWER 048424,,https://eservices.mas.gov.sg/fid/institution/detail/4506-A-M-BEST-ASIA-PACIFIC-SINGAPORE-PTE-LTD,1,2026-07-11
32,28,A.R.MONEY EXCHANGE,Payments,Money-changing Licensee,65 64544095,9 BISHAN PLACE #01-K10 JUNCTION 8 SHOPPING CENTRE 579837,,https://eservices.mas.gov.sg/fid/institution/detail/2899-A-R-MONEY-EXCHANGE,1,2026-07-11
33,29,A2Z PRIVATE CAPITAL PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 67373823,138 ROBINSON ROAD #25-04 OXLEY TOWER 068906,http://www.a2zprivcap.com,https://eservices.mas.gov.sg/fid/institution/detail/200459-A2Z-PRIVATE-CAPITAL-PTE-LTD,1,2026-07-11
34,30,A3 INSURANCE BROKER (S) PTE. LTD.,Insurance,Registered Insurance Broker,+65 63719637,3 MEDIA CLOSE #01-03/06 138498,,https://eservices.mas.gov.sg/fid/institution/detail/228577-A3-INSURANCE-BROKER-S-PTE-LTD,1,2026-07-11
35,31,AAIC INVESTMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68845563,180B BENCOOLEN STREET #05-02 THE BENCOOLEN OFFICE TOWER 189648,,https://eservices.mas.gov.sg/fid/institution/detail/4352-AAIC-INVESTMENT-PTE-LTD,1,2026-07-11
36,32,AAREAL BANK ASIA LIMITED,Banking,Merchant Bank,+65 63729750,3 CHURCH STREET #17-03 SAMSUNG HUB 049483,,https://eservices.mas.gov.sg/fid/institution/detail/1333-AAREAL-BANK-ASIA-LIMITED,1,2026-07-11
37,33,ABA INSURANCE BROKERS PTE. LTD.,Insurance,Registered Insurance Broker,+65 69586099,31 HARRISON ROAD #06-02 FOOD EMPIRE BUILDING 369649,http://www.abainsurance.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/246841-ABA-INSURANCE-BROKERS-PTE-LTD,1,2026-07-11
38,33,ABA INSURANCE BROKERS PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 69586099,31 HARRISON ROAD #06-02 FOOD EMPIRE BUILDING 369649,http://www.abainsurance.com.sg,https://eservices.mas.gov.sg/fid/institution/detail/246841-ABA-INSURANCE-BROKERS-PTE-LTD,1,2026-07-11
39,34,ABACARE SINGAPORE PTE. LTD.,Insurance,Registered Insurance Broker,+65 63290990,78 SOUTH BRIDGE ROAD #05-01 TKH BUILDING 058708,,https://eservices.mas.gov.sg/fid/institution/detail/200458-ABACARE-SINGAPORE-PTE-LTD,1,2026-07-11
40,34,ABACARE SINGAPORE PTE. LTD.,Financial Advisory,Exempt Financial Adviser,+65 63290990,78 SOUTH BRIDGE ROAD #05-01 TKH BUILDING 058708,,https://eservices.mas.gov.sg/fid/institution/detail/200458-ABACARE-SINGAPORE-PTE-LTD,1,2026-07-11
41,35,ABACUS ASIA WEALTH MANAGEMENT PTE. LTD.,Capital Markets,Capital Markets Services Licensee,+65 68177757,138 ROBINSON ROAD #10-03 OXLEY TOWER 068906,,https://eservices.mas.gov.sg/fid/institution/detail/2211-ABACUS-ASIA-WEALTH-MANAGEMENT-PTE-LTD,1,2026-07-11
42,36,ABACUS CAPITAL (S) PTE LTD,Capital Markets,Capital Markets Services Licensee,+65 65367887,"350 ORCHARD ROAD #12-01-03, SHAW HOUSE 238868",http://www.abacuscapital.com,https://eservices.mas.gov.sg/fid/institution/detail/854-ABACUS-CAPITAL-S-PTE-LTD,1,2026-07-11
